ID,Agree_IN,ASQ1,ASQ1A,ASQ1B,ASQ1C,ASQ2A,ASQ2AC,SQ1,SQ2,SQ3,SQ4,SQ5,SQ5A,SQ5AA,AQ1,ATQ1_7,AQ1A,AQ1B,Q1,Q1A,RQ1A,Q1B_1,Q1B_2,Q1B_3,Q1B_4,Q1B_5,Q1B_6,Q1B_7,Q1B_8,TQ1B_8,Q2,RQ2,Q3,RQ3,Q4,Q5,Q5A,Q6,Q6A,Q7,RQ7,Q7A_1_1,Q7A_1_2,Q7A_1_3,Q7A_1_4,TQ7A_1_4,Q7A_1_5,Q7A_2_1,Q7A_2_2,Q7A_2_3,Q7A_2_4,TQ7A_2_4,Q7A_2_5,Q7A_3_1,Q7A_3_2,Q7A_3_3,Q7A_3_4,TQ7A_3_4,Q7A_3_5,Q7A_4_1,Q7A_4_2,Q7A_4_3,Q7A_4_4,TQ7A_4_4,Q7A_4_5,Q7A_5_1,Q7A_5_2,Q7A_5_3,Q7A_5_4,TQ7A_5_4,Q7A_5_5,Q7A_6_1,Q7A_6_2,Q7A_6_3,Q7A_6_4,TQ7A_6_4,Q7A_6_5,Q7A_7_1,Q7A_7_2,Q7A_7_3,Q7A_7_4,TQ7A_7_4,Q7A_7_5,Q7A_8_1,Q7A_8_2,Q7A_8_3,Q7A_8_4,TQ7A_8_4,Q7A_8_5,Q7A_9_1,Q7A_9_2,Q7A_9_3,Q7A_9_4,TQ7A_9_4,Q7A_9_5,Q7A_10_1,Q7A_10_2,Q7A_10_3,Q7A_10_4,TQ7A_10_4,Q7A_10_5,Q7A_11_1,Q7A_11_2,Q7A_11_3,Q7A_11_4,TQ7A_11_4,Q7A_11_5,Q7A_12_1,Q7A_12_2,Q7A_12_3,Q7A_12_4,TQ7A_12_4,Q7A_12_5,Q7A_13_1,Q7A_13_2,Q7A_13_3,Q7A_13_4,TQ7A_13_4,Q7A_13_5,Q7A_14_1,Q7A_14_2,Q7A_14_3,Q7A_14_4,TQ7A_14_4,Q7A_14_5,Q7A_15_1,Q7A_15_2,Q7A_15_3,Q7A_15_4,TQ7A_15_4,Q7A_15_5,Q7A_16_1,Q7A_16_2,Q7A_16_3,Q7A_16_4,TQ7A_16_4,Q7A_16_5,Q7A_17_1,Q7A_17_2,Q7A_17_3,Q7A_17_4,TQ7A_17_4,Q7A_17_5,Q7A_18_1,Q7A_18_2,Q7A_18_3,Q7A_18_4,TQ7A_18_4,Q7A_18_5,Q7A_19_1,Q7A_19_2,Q7A_19_3,Q7A_19_4,TQ7A_19_4,Q7A_19_5,Q7A_20_1,Q7A_20_2,Q7A_20_3,Q7A_20_4,TQ7A_20_4,Q7A_20_5,Q7A_21_1,Q7A_21_2,Q7A_21_3,Q7A_21_4,TQ7A_21_4,Q7A_21_5,Q7A_22_1,Q7A_22_2,Q7A_22_3,Q7A_22_4,TQ7A_22_4,Q7A_22_5,Q7A_23_1,Q7A_23_2,Q7A_23_3,Q7A_23_4,TQ7A_23_4,Q7A_23_5,Q7A_24_1,Q7A_24_2,Q7A_24_3,Q7A_24_4,TQ7A_24_4,Q7A_24_5,Q7A_25_1,Q7A_25_2,Q7A_25_3,Q7A_25_4,TQ7A_25_4,Q7A_25_5,Q7A_26_1,Q7A_26_2,Q7A_26_3,Q7A_26_4,TQ7A_26_4,Q7A_26_5,Q7A_27_1,Q7A_27_2,Q7A_27_3,Q7A_27_4,TQ7A_27_4,Q7A_27_5,Q7A_28_1,Q7A_28_2,Q7A_28_3,Q7A_28_4,TQ7A_28_4,Q7A_28_5,Q7A_29_1,Q7A_29_2,Q7A_29_3,Q7A_29_4,TQ7A_29_4,Q7A_29_5,Q7A_30_1,Q7A_30_2,Q7A_30_3,Q7A_30_4,TQ7A_30_4,Q7A_30_5,Q7A_31_1,Q7A_31_2,Q7A_31_3,Q7A_31_4,TQ7A_31_4,Q7A_31_5,Q7A_32_1,Q7A_32_2,Q7A_32_3,Q7A_32_4,TQ7A_32_4,Q7A_32_5,Q7A_33_1,Q7A_33_2,Q7A_33_3,Q7A_33_4,TQ7A_33_4,Q7A_33_5,Q7A_34_1,Q7A_34_2,Q7A_34_3,Q7A_34_4,TQ7A_34_4,Q7A_34_5,Q7A_35_1,Q7A_35_2,Q7A_35_3,Q7A_35_4,TQ7A_35_4,Q7A_35_5,Q7A_36_1,Q7A_36_2,Q7A_36_3,Q7A_36_4,TQ7A_36_4,Q7A_36_5,Q7A_37_1,Q7A_37_2,Q7A_37_3,Q7A_37_4,TQ7A_37_4,Q7A_37_5,Q7A_38_1,Q7A_38_2,Q7A_38_3,Q7A_38_4,TQ7A_38_4,Q7A_38_5,Q7A_39_1,Q7A_39_2,Q7A_39_3,Q7A_39_4,TQ7A_39_4,Q7A_39_5,Q7A_40_1,Q7A_40_2,Q7A_40_3,Q7A_40_4,TQ7A_40_4,Q7A_40_5,DQ1,DQ2,TDQ2_10,DQ3,DQ3A,DQ4,DQ4A_1,DQ4A_2,DQ4A_3,DQ4A_4,DQ4A_5,DQ4A_6,DQ4A_7,TDQ4A_7,DQ5,TDQ5_11,DQ6,TDQ6_11,D_SQ1,D_SQ2,D_SQ3,D_SQ4,D_SQ5AA,D_DQ1,D_DQ2,D_DQ3,D_DQ3A,D_DQ4,D_DQ5,D_DQ6,WT
208,Y,,,,,,,1,49,14,2,2022-02-21 오후 2:14:15,7,2,,,,,1,10,5,,2,,,,,,,,3,3,1,1,7,3,2,1,3,4,3,6,1,4,1,,2,6,1,4,1,,2,9,2,4,1,,2,9,2,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,1,4,1,2,,,,,,,10,,11,900000000,1,8,4,2,2,1,1,4,1,4,4,4,1.03
210,Y,,,,,,,1,54,1,1,2022-02-22 오전 11:16:23,1,5,,,,,1,12,6,,,3,4,5,6,7,,,2,2,1,1,2,1,2,1,3,2,2,9,2,3,1,,2,6,1,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,2,4,1,2,,,,,,,11,100000000,11,100000000,1,9,1,1,1,1,1,4,2,4,4,4,1.24
211,Y,,,,,,,1,41,3,1,2022-02-22 오전 12:29:26,1,5,,,,,1,12,6,1,,,,,,,,,3,3,6,4,1,1,1,5,7,1,1,8,1,1,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,1,3,1,2,,,,,,,10,,11,100000000,1,8,5,1,1,1,1,4,1,3,4,4,1.13
213,Y,,,,,,,1,52,9,2,2022-02-21 오후 2:18:04,7,2,,,,,1,10,5,,2,,,,,,,,2,2,0,0,2,1,2,1,2,3,3,8,2,3,1,,1,5,1,2,1,,2,4,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,4,1,2,,,,,,,10,,11,102000000,1,9,2,2,2,1,1,3,1,4,4,4,1.25
215,Y,,,,,,,2,48,7,1,2022-02-22 오후 1:00:19,1,5,,,,,1,2,2,,2,,,,,,,,1,1,0,0,3,1,2,3,2,2,2,10,2,3,5,,2,9,2,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,3,1,2,,,,,,,1,,3,,2,8,6,1,1,3,,1,,3,1,2,1.06
216,Y,,,,,,,2,53,5,1,2022-02-21 오후 2:46:12,7,2,,,,,1,8,4,,2,,,,,,,,2,2,1,1,3,2,3,1,3,15,5,9,2,2,5,,2,8,2,2,5,,2,9,1,2,5,,2,7,1,4,1,,2,6,2,2,1,,2,7,1,2,8,,2,7,2,4,8,,2,9,1,4,8,,2,8,2,4,8,,2,10,2,4,8,,2,10,2,1,7,,2,9,1,4,8,,2,9,2,3,8,,2,7,2,1,5,,2,8,1,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,4,1,2,,,,,,,10,,11,110000000,2,9,4,1,2,1,2,1,,4,4,4,1.08
218,Y,,,,,,,1,43,16,2,2022-02-21 오후 2:15:28,7,2,,,,,1,15,6,,2,,,,,,,,5,4,1,1,3,1,2,1,3,5,4,10,1,2,2,,2,3,1,4,1,,1,2,2,4,1,,1,7,2,5,1,,1,9,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,4,1,4,1,2,,,,,,,9,,10,,1,8,6,2,2,1,3,3,1,4,4,4,1.1
219,Y,,,,,,,2,52,10,2,2022-02-22 오전 7:57:29,1,5,,,,,1,5,3,,2,,,,,,,,0,0,0,0,2,1,2,2,6,3,3,9,1,2,10,병원,2,12,2,2,1,,2,12,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,2,,,3,,,,,,4,,7,,2,9,7,2,1,3,,1,,2,2,4,0.98
220,Y,,,,,,,2,32,2,1,2022-02-21 오후 2:30:24,7,2,,,,,1,1,2,,2,,,,,,,,1,1,0,0,2,2,2,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,1,1,,,,,,,,,4,,4,,2,7,6,1,2,1,2,3,1,1,2,2,0.99
221,Y,,,,,,,2,69,10,2,2022-02-21 오후 2:15:47,7,2,,,,,1,5,3,,,3,4,,6,7,,,1,1,1,1,2,2,2,3,4,3,3,6,1,2,1,,2,7,2,2,2,,2,8,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,2,,5,,2,,,,,7,친척,8,,10,,2,10,7,2,2,1,3,1,,5,4,4,1.16
222,Y,,,,,,,1,45,17,2,2022-02-22 오전 11:40:48,1,5,,,,,1,12,6,,2,,,,,,,,2,2,0,0,2,1,1,2,1,2,2,8,2,4,1,,1,9,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,5,1,4,1,2,,,,,,,5,,8,,1,8,7,2,1,2,1,4,1,4,3,4,0.9
224,Y,,,,,,,2,52,2,1,2022-02-21 오후 2:25:54,7,2,,,,,1,9,5,,2,,,,,,,,2,2,1,1,3,1,2,3,4,6,4,9,1,2,1,,2,6,2,1,1,,2,12,2,3,1,,2,3,1,3,1,,1,4,2,2,1,,1,5,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,7,1,2,3,,,,,,5,,10,,2,9,6,1,2,1,2,3,2,5,3,4,1.27
225,Y,,,,,,,1,31,17,2,2022-02-22 오전 8:21:29,1,5,,,,,1,2,2,,2,,,,,,,,3,3,0,0,3,1,2,1,2,1,1,7,2,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,2,,,,,,6,,,5,,7,,1,7,7,2,1,1,2,3,2,2,3,4,0.67
226,Y,,,,,,,1,29,9,2,2022-02-23 오전 10:05:03,2,5,,,,,1,6,4,,2,,,,,,,,4,3,2,2,3,2,1,1,4,2,2,9,1,3,1,,2,9,2,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,,,3,,,6,,,5,,9,,1,6,2,2,1,1,2,3,2,4,3,4,1.22
228,Y,,,,,,,1,40,3,1,2022-02-21 오후 2:05:50,7,2,,,,,1,3,3,,2,,,,,,,,1,1,0,0,2,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,1,1,,,,,,,,,1,,1,,1,8,5,1,2,2,1,3,1,1,1,1,1.13
229,Y,,,,,,,1,63,6,1,2022-02-21 오후 2:20:31,7,2,,,,,1,12,6,,2,,,,,,,,1,1,1,1,2,1,2,3,1,3,3,10,1,2,2,,2,10,1,2,2,,2,10,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,4,1,3,1,2,,,,,,,5,,6,,1,10,3,1,2,1,3,3,1,3,3,3,1.28
230,Y,,,,,,,2,32,2,1,2022-02-21 오후 2:07:26,7,2,,,,,2,,,,,,,,,,,,6,4,2,2,1,1,1,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,1,2,1,,,,,,,,6,,7,,2,7,6,1,2,2,1,3,1,2,3,4,0.99
232,Y,,,,,,,1,70,9,2,2022-02-21 오후 3:44:02,7,2,,,,,1,4,3,,2,,,,,,,,4,3,2,2,2,4,2,1,2,4,3,11,2,5,1,,1,9,2,3,2,,2,9,1,2,2,,2,8,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,4,2,2,1,,,,,,,,6,,7,,1,10,2,2,2,2,3,3,2,2,3,4,1.2
233,Y,,,,,,,2,28,9,2,2022-02-22 오후 2:39:19,1,5,,,,,2,,,,,,,,,,,,2,2,0,0,3,2,3,2,4,2,2,9,2,4,1,,2,6,1,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,4,,,3,,,6,,,1,,5,,2,6,2,2,1,3,,3,2,4,1,3,1.24
234,Y,,,,,,,2,56,2,1,2022-02-22 오후 10:32:20,1,5,,,,,1,8,4,,,3,4,5,,7,,,5,4,0,0,3,1,3,1,3,10,5,10,1,1,2,,2,9,2,1,2,,2,8,2,1,2,,2,8,1,1,2,,2,9,1,1,2,,2,10,2,1,2,,2,7,2,3,1,,2,9,2,3,4,,2,7,2,3,2,,2,9,2,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,3,1,2,,,,,,,4,,9,,2,9,6,1,1,1,2,1,,3,2,4,1.27
236,Y,,,,,,,2,52,13,2,2022-02-21 오후 3:10:59,7,2,,,,,1,2,2,,,,,,,7,,,4,3,0,0,5,1,3,1,3,10,5,7,2,1,6,,2,7,2,1,1,,2,7,1,5,1,,1,7,1,5,1,,2,7,2,5,5,,1,7,2,1,6,,2,7,2,1,6,,2,7,2,1,5,,2,7,2,5,5,,2,7,2,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,4,1,2,,,,,,,4,,7,,2,9,4,2,2,3,,1,,4,2,4,1.08
237,Y,,,,,,,1,41,4,1,2022-02-22 오전 5:49:40,1,5,,,,,1,11,5,,2,,,,,,,,1,1,1,1,2,1,1,1,1,4,3,8,1,3,2,,2,8,1,3,2,,2,8,1,2,2,,2,8,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,1,4,1,2,,,,,,,9,,10,,1,8,2,1,1,1,1,4,1,4,4,4,1.18
239,Y,,,,,,,2,27,9,2,2022-02-21 오후 3:29:23,7,2,,,,,1,12,6,,2,,,,,,,,1,1,1,1,2,2,1,1,4,2,2,8,1,3,2,,2,6,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,,,3,,,6,,,4,,8,,2,6,2,2,2,1,2,3,2,3,2,4,1.24
240,Y,,,,,,,2,24,3,1,2022-02-21 오후 2:57:35,7,2,,,,,1,7,4,,2,,,,,,,,2,2,2,2,3,2,3,1,3,1,1,6,2,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,2,4,,,3,,,6,,,1,,7,,2,6,5,1,2,3,,3,2,4,1,4,1.26
241,Y,,,,,,,1,29,1,1,2022-02-21 오후 2:50:17,7,2,,,,,1,9,5,,2,,,,,,,,3,3,6,4,2,1,2,2,2,2,2,6,1,4,5,,2,6,1,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,1,2,,,,,,,6,,8,,1,6,1,1,2,1,2,3,2,3,3,4,1.29
243,Y,,,,,,,2,45,5,1,2022-02-22 오전 9:48:42,1,5,,,,,1,12,6,,2,,,,,,,,5,4,2,2,3,4,3,3,3,2,2,4,2,1,6,,2,5,1,2,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,4,1,2,,,,,,,3,,6,,2,8,4,1,1,1,2,1,,4,2,3,1.08
245,Y,,,,,,,2,45,4,1,2022-02-21 오후 3:38:18,7,2,,,,,1,3,3,,,3,,,,,,,2,2,0,0,5,1,5,1,1,4,3,9,2,1,1,,2,8,2,2,2,,2,6,2,3,1,,1,5,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,1,2,,,,,,,6,,7,,2,8,2,1,2,1,2,3,2,4,3,4,1.14
247,Y,,,,,,,1,65,1,1,2022-02-23 오후 5:46:52,2,5,,,,,1,9,5,,2,,,,,,,,1,1,0,0,1,1,1,1,4,3,3,10,1,3,5,,2,12,2,4,1,,2,7,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,배움터지킴이,4,1,3,,2,3,,,,,,5,,6,,1,10,1,1,1,2,5,3,1,3,3,3,1.25
